Casablanca	Mohammed V International Airport	CMN	Morocco	Africa
Fes	Fes-Saïss Airport	FEZ	Morocco	Africa
Marrakech	Marrakech-Menara Airport	RAK	Morocco	Africa
Nador	Nador International Airport	NDR	Morocco	Africa
Oujda	Angads Airport	OUD	Morocco	Africa
Rabat	Rabat-Salé Airport	RBA	Morocco	Africa
Tangier	Tangier-Boukhalef Airport	TNG	Morocco	Africa
Tetouan	Sania Ramel Airport	TTU	Morocco	Africa
Dakhla	Dakhla Airport	VIL	Morocco	Africa
Laâyoune	Hassan I Airport	EUN	Morocco	Africa
Khartoum	Khartoum International Airport	KRT	Sudan	Africa
Port Sudan	Port Sudan New International Airport	PZU	Sudan	Africa
Djerba	Zarzis Airport	DJE	Tunisia	Africa
Enfidha	Enfidha-Hammamet International Airport	NBE	Tunisia	Africa
Monastir	Habib Bourguiba International Airport	MIR	Tunisia	Africa
Sfax	Thyna International Airport	SFA	Tunisia	Africa
Tabarka	7 Novembre International Airport	TBJ	Tunisia	Africa
Tozeur	Nefta International Airport	TOE	Tunisia	Africa
Tunis	Carthage International Airport	TUN	Tunisia	Africa
Luanda	Quatro de Fevereiro Airport	LAD	Angola	Africa
Lubango	Lubango Airport	SSD	Angola	Africa
Gaborone	Sir Seretse Khama International Airport	GBE	Botswana	Africa
Maun	Maun Airport	MUB	Botswana	Africa
Francistown	Francistown Airport	FRW	Botswana	Africa
Kasane	Kasane Airport	BBK	Botswana	Africa
Maseru	Moshoeshoe I International Airport	MSU	Lesotho	Africa
Antananarivo	Ivato International Airport	TNR	Madagascar	Africa
Antsiranana	Arrachart Airport	DIE	Madagascar	Africa
Mahajanga	Amborovy Airport	MJN	Madagascar	Africa
Nosy Be	Fascene Airport	NOS	Madagascar	Africa
Toamasina	Toamasina Airport	TMM	Madagascar	Africa
Tôlanaro	Tôlanaro Airport	FTU	Madagascar	Africa
Toliara	Toliara Airport	TLE	Madagascar	Africa
Blantyre	Chileka International Airport	BLZ	Malawi	Africa
Lilongwe	Lilongwe International Airport	LLW	Malawi	Africa
Dzaoudzi	Dzaoudzi–Pamandzi International Airport	DZA	Mayotte	Africa
Maputo	Maputo International Airport	MPM	Mozambique	Africa
Beira	Beira Airport	BEW	Mozambique	Africa
Inhambane	Inhambane Airport	INH	Mozambique	Africa
Nampula	Nampula Airport	APL	Mozambique	Africa
Pemba	Pemba Airport	POL	Mozambique	Africa
Tete	Chingozi Airport	TET	Mozambique	Africa
Vilankulo	Vilankulo Airport	VNX	Mozambique	Africa
Windhoek	Hosea Kutako International Airport	WDH	Namibia	Africa
Walvis Bay	Walvis Bay Airport	WVB	Namibia	Africa
Cape Town	Cape Town International Airport	CPT	South Africa	Africa
Durban	King Shaka International Airport	DUR	South Africa	Africa
Johannesburg	OR Tambo International Airport	JNB	South Africa	Africa
Nelspruit	Kruger Mpumalanga International Airport	MQP	South Africa	Africa
Johannesburg	Lanseria International Airport	HLA	South Africa	Africa
Manzini	King Mswati III International Airport	SHO	Swaziland	Africa
Livingstone	Harry Mwanga Nkumbula International Airport	LVI	Zambia	Africa
Lusaka	Kenneth Kaunda International Airport	LUN	Zambia	Africa
Ndola	Simon Mwansa Kapwepwe International Airport	NLA	Zambia	Africa
Harare	Robert Gabriel Mugabe International Airport	HRE	Zimbabwe	Africa
Victoria Falls	Victoria Falls Airport	VFA	Zimbabwe	Africa
Bulawayo	Joshua Mqabuko Nkomo International Airport	BUQ	Zimbabwe	Africa
Cotonou	Cadjehoun Airport	COO	Benin	Africa
Bobo-Dioulasso	Bobo Dioulasso Airport	BOY	Burkina Faso	Africa
Ouagadougou	Ouagadougou Airport	OUA	Burkina Faso	Africa
Douala	Douala Airport	DLA	Cameroon	Africa
Yaoundé	Nsimalen Airport	NSI	Cameroon	Africa
Boa Vista Island	Aristides Pereira International Airport	BVC	Cape Verde	Africa
Sal Island	Amílcar Cabral International Airport	SID	Cape Verde	Africa
Praia, Santiago Island	Nelson Mandela International Airport	RAI	Cape Verde	Africa
Sao Vicente Island	Cesária Évora Airport	VXE	Cape Verde	Africa
Bangui	M'Poko International Airport	BGF	Central African Republic	Africa
Abidjan	Port Bouet Airport	ABJ	Côte d'Ivoire	Africa
Banjul	Banjul International Airport	BJL	Gambia	Africa
Accra	Kotoka International Airport	ACC	Ghana	Africa
Tamale	Tamale Airport	TML	Ghana	Africa
Conakry	Conakry International Airport	CKY	Guinea	Africa
Bissau	Osvaldo Vieira International Airport	OXB	Guinea-Bissau	Africa
Bubaque	Bubaque Airport	BQE	Guinea-Bissau	Africa
Monrovia	Roberts International Airport	ROB	Liberia	Africa
Bamako	Senou International Airport	BKO	Mali	Africa
